kabupaten,tahun,bulan,ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR
Lampung Barat,2023,5,18.169032258064515,24.695483870967745,27.870967741935484,22.463870967741936,89.00064516129032,159.54999999999998
Lampung Barat,2023,6,16.345000000000002,24.316333333333333,27.406333333333333,22.02766666666667,89.361,130.13
Lampung Barat,2023,7,15.411935483870968,24.062580645161294,27.299032258064514,21.835806451612903,88.70483870967742,199.88
Lampung Barat,2023,8,19.413870967741936,24.119032258064518,28.372903225806454,21.065161290322582,85.26870967741935,62.67
Lampung Barat,2023,9,21.821,24.807333333333336,30.510333333333335,20.602666666666668,75.916,4.3999999999999995
Lampung Barat,2023,10,22.11774193548387,26.82032258064516,32.88612903225807,22.169354838709676,66.77193548387096,6.46
Lampung Barat,2023,11,18.200666666666667,26.580333333333332,31.481333333333332,23.099666666666668,74.36733333333333,101.18
Lampung Barat,2023,12,18.482580645161292,25.659032258064514,30.126774193548385,22.578064516129032,79.6983870967742,205.53
Lampung Barat,2024,1,16.991612903225807,24.595161290322583,27.76451612903226,22.418387096774193,88.05129032258066,239.94
Lampung Barat,2024,2,18.600689655172413,24.82137931034483,28.039310344827587,22.561034482758622,88.46275862068966,244.25
Lampung Barat,2024,3,18.730645161290322,24.81451612903226,28.111612903225808,22.333225806451615,88.58258064516129,314.15
Lampung Barat,2024,4,17.598000000000003,25.391666666666666,28.549,23.112333333333332,89.18133333333334,265.87
Lampung Barat,2024,5,18.037419354838708,25.490645161290324,28.684516129032257,23.175161290322578,88.83903225806452,171.48
Lampung Barat,2024,6,16.422,24.73166666666667,27.891000000000002,22.342666666666666,88.08366666666667,121.86
Lampung Barat,2024,7,17.745483870967742,24.17258064516129,27.934838709677418,21.373548387096776,86.01290322580645,30.86
Lampung Barat,2024,8,18.79741935483871,24.97451612903226,29.690322580645162,21.552258064516128,80.14322580645161,36.18
Lampung Barat,2024,9,19.766333333333332,25.913333333333334,31.308333333333334,22.11433333333333,73.36366666666666,71.47
Lampung Barat,2024,10,21.30354838709677,26.425806451612903,31.88225806451613,22.476129032258065,71.24258064516128,69.15
Lampung Barat,2024,11,17.511333333333333,25.15266666666667,29.118666666666666,22.462,83.006,273.69
Lampung Barat,2024,12,16.000967741935487,24.30354838709677,27.823870967741936,21.734516129032258,86.78483870967742,231.94
Lampung Selatan,2018,1,17.429032258064513,26.92806451612903,29.30258064516129,24.986129032258066,83.19645161290323,174.03
Lampung Selatan,2018,2,18.649285714285714,26.812857142857144,28.7225,25.1925,85.09607142857143,443.36
Lampung Selatan,2018,3,19.30032258064516,27.139032258064518,29.004516129032258,25.588064516129034,83.3016129032258,369.38
Lampung Selatan,2018,4,18.052666666666667,27.766666666666666,29.587333333333333,26.306333333333335,82.37833333333333,265.94
Lampung Selatan,2018,5,17.52032258064516,27.831290322580646,29.63290322580645,26.463870967741936,82.98870967741935,107.43
Lampung Selatan,2018,6,16.109333333333332,27.391666666666666,29.149333333333335,26.020333333333333,82.14033333333333,109.33
Lampung Selatan,2018,7,18.72483870967742,26.710967741935484,29.23548387096774,24.73774193548387,77.62935483870967,8.29
Lampung Selatan,2018,8,18.653225806451612,27.24225806451613,30.480645161290322,24.877741935483872,74.04709677419355,26.93
Lampung Selatan,2018,9,19.889,27.767,31.377333333333333,25.1,72.56866666666666,48.07
Lampung Selatan,2018,10,19.84967741935484,28.620645161290323,31.895806451612902,26.13193548387097,72.95129032258063,78.84
Lampung Selatan,2018,11,18.252666666666666,27.816333333333333,30.16433333333333,26.12066666666667,80.46933333333332,184.15
Lampung Selatan,2018,12,17.448064516129033,27.355806451612903,29.46741935483871,25.75516129032258,82.01935483870967,165.42
Lampung Selatan,2019,1,19.00548387096774,27.33677419354839,29.517096774193547,25.55516129032258,83.66903225806452,345.55
Lampung Selatan,2019,2,19.937857142857144,27.518214285714286,29.448571428571427,25.920714285714286,82.80357142857143,263.88
Lampung Selatan,2019,3,18.656774193548387,27.373225806451615,29.362903225806452,25.679032258064513,83.43161290322581,342.94
Lampung Selatan,2019,4,18.971999999999998,28.051333333333332,29.955333333333332,26.496666666666666,82.77966666666666,252.13
Lampung Selatan,2019,5,17.94709677419355,27.988387096774193,29.73741935483871,26.66290322580645,82.65774193548387,101.89
Lampung Selatan,2019,6,16.682333333333336,27.436,29.363666666666667,25.892,80.025,46.74
Lampung Selatan,2019,7,18.4,27.056451612903224,29.539354838709677,25.193870967741937,77.63709677419355,53.84
Lampung Selatan,2019,8,19.77032258064516,27.23516129032258,30.879032258064516,24.571290322580648,72.76548387096774,5.9399999999999995
Lampung Selatan,2019,9,21.050666666666665,28.152333333333335,32.202000000000005,25.125999999999998,68.31,4.73
Lampung Selatan,2019,10,22.033870967741933,28.723548387096777,32.778387096774196,25.64741935483871,69.58387096774193,52.190000000000005
Lampung Selatan,2019,11,21.201999999999998,28.918666666666663,32.726,26.106333333333335,71.153,59.58
Lampung Selatan,2019,12,18.830967741935485,28.60258064516129,31.692903225806454,26.20258064516129,76.76935483870967,273.76
